sample,Barcode,Pond_ID,Device,County,Easting,Northing,Survey_ID,PilotArea,Max_Depth,Approx_Circ,Max_Width,Max_Length,Pond_Area,Pond_Density,Overhang,Shading,Macrophytes,HSI,Permanance,Quality,Pond_Substrate,Inflow,Outflow,Pollution,Amphibians,Waterfowl,Fish,Woodland,Rough_Grass,Scrub_Hedge,Ruderals,Terrestrial_Other,Overall_Habitat_Score,HSI_Band,ESRI_OID
F187,S14-024025,TF17NE_12,T29,Lincoln,517519.56,378846.06,T6-111,"Wragby, Lincolnshire",2,40,10,10,100,5.41,10,0,0,0.6693258,Rarely dries,Moderate,Clay,Present,Absent,Absent,None,Absent,Possible,None,Some,Some,Important,Important,Moderate,Average,317
F188,S14-024389,SJ65NW_637,T18,Cheshire,361023.02,359125.45,T5-48,"Nantwich, Cheshire",0.3,58,13,16,280,8.6,10,0,30,0.677480227,Sometimes dries,Poor,Clay,Absent,Absent,Absent,None,Minor,Absent,Important,None,Important,None,Important,Moderate,Average,133
F189,S14-024192,TF17NW_212,T25,Lincoln,510562.95,378728.41,T26-8,"Wragby, Lincolnshire",2,110,20,55,850,4.78,0,10,10,0.46346828,Never dries,Moderate,Not known,Present,Absent,Absent,None,Minor,Major,None,None,Some,None,None,Poor,Poor,361
F19,S14-023870,SJ65NW_648,T16,Cheshire,364882.57,358758.78,T7-45,"Nantwich, Cheshire",3,150,17,58,986,7.64,0,0,10,0.481412157,Never dries,Good,Clay,Absent,Absent,Absent,None,Major,Possible,Important,None,Important,None,Some,Poor,Poor,137
F190,S14-024053,TF07NE_137,T29,Lincoln,509794.31,377829.85,T8-35,"Wragby, Lincolnshire",1,60,15,15,225,7.01,100,100,0,0.524512259,Never dries,Poor,Clay,Absent,Absent,Absent,None,Minor,Absent,None,Some,Some,None,None,Poor,Below Average,309
F191,S14-024391,SJ55NE_600,T20,Cheshire,357655.35,355452.21,T4-71,"Nantwich, Cheshire",2,125,24,40,900,7.32,0,0,10,0.462513629,Never dries,Poor,Not known;Lined,Absent,Absent,Absent,None,Minor,Major,Some,Some,Important,Some,Important,Moderate,Poor,42
F192,S14-024052,TF07SE_406,T29,Lincoln,508540.18,374725.95,T8-37,"Wragby, Lincolnshire",2,100,20,30,550,4.46,0,0,30,0.588112649,Never dries,Good,Clay,Present,Absent,Absent,None,Absent,Major,Important,Important,Some,None,Some,Good,Below Average,312
F193,S14-024143,TF17NW_227,T29,Lincoln,514743.79,378829.45,T8-93,"Wragby, Lincolnshire",1.5,60,10,20,200,7.32,60,60,70,0.803996216,Never dries,Good,Clay;Sand/gravel/pebbles,Present,Present,Absent,None,Absent,Absent,None,Some,Important,None,Some,Poor,Excellent,368
F194,S14-024142,TF28SW_417,T21,Lincoln,520234.31,382886.04,T26-68,"Wragby, Lincolnshire",0.3,40,9,18,100,5.1,0,10,10,0.672599431,Never dries,Moderate,Clay,Present,Present,Absent,None,Minor,Possible,Important,Important,Important,None,Some,Good,Average,479
F195,S14-024203,SJ64NE_33,T18,Cheshire,367445.79,346619.93,T4-19,"Nantwich, Cheshire",0.75,80,15,25,375,4.78,80,90,0,0.638143771,Never dries,Poor,Clay,Present,Present,Absent,None,Minor,Absent,Important,Some,Important,Some,Some,Moderate,Average,70
F196,S14-024180,SJ64NE_5,T18,Cheshire,367564.21,346865.25,T4-15,"Nantwich, Cheshire",0.3,35,15,8,50,6.37,90,100,0,0.288683928,Dries annually,Bad,Clay;Sand/gravel/pebbles,Present,Absent,Absent,None,Absent,Absent,Important,Some,Important,Some,Some,Moderate,Poor,73
F197,S14-024019,TF07NE_126,T22,Lincoln,506902.92,376146.42,T8-54,"Wragby, Lincolnshire",2,150,20,60,1000,3.82,10,20,10,0.458693913,Never dries,Moderate,Sand/gravel/pebbles,Absent,Absent,Absent,None,Minor,Major,None,None,Important,None,None,Poor,Poor,306
F198,S14-024204,SJ64NE_34,T18,Cheshire,367444.25,346602.51,T4-55,"Nantwich, Cheshire",0.45,80,21,22,450,4.14,60,90,0,0.716463004,Rarely dries,Poor,Clay,Present,Present,Absent,None,Absent,Absent,Important,Some,Important,Some,Some,Good,Good,71
F199,S14-024363,SJ64NE_1355,T20,Cheshire,366194.9,349999.77,T5-5,"Nantwich, Cheshire",0.5,65,10,25,150,9.24,100,90,10,0.497489368,Dries annually,Poor,Clay,Absent,Absent,Absent,None,Absent,Absent,Some,None,Important,Some,Important,Moderate,Poor,62
F2,S14-023868,SJ65NW_844,T20,Cheshire,364250.79,358829.98,T19-90,"Nantwich, Cheshire",1.5,100,30,22,650,8.92,0,0,50,0.923714705,Never dries,Good,Clay,Absent,Absent,Absent,None,Absent,Absent,Some,Some,Some,Some,None,Moderate,Excellent,189
F20,S14-023790,SJ65NE_418,T18,Cheshire,365414.88,357443.33,T1-10,"Nantwich, Cheshire",0.8,82,13,28,344,17.52,100,100,0,0.552832549,Sometimes dries,Poor,Clay,Present,Absent,Absent,None,Minor,Absent,Some,None,Important,None,Some,Moderate,Below Average,120
F200,S14-024153,TF07NE_122,T22,Lincoln,508266.07,375320.74,T8-99,"Wragby, Lincolnshire",1,50,5,20,100,7.01,100,90,0,0.55255689,Sometimes dries,Poor,Clay,Present,Present,Absent,None,Absent,Possible,Important,Important,Important,None,Some,Good,Below Average,303
F201,S14-024045,TF28SW_426,T21,Lincoln,520207.11,382881.64,T26-67,"Wragby, Lincolnshire",0.4,70,20,25,350,1.91,10,30,10,0.742698202,Never dries,Moderate,Clay,Present,Present,Absent,None,Minor,Possible,Important,Important,Important,None,Some,Good,Good,487
F202,S14-024304,SJ65SW_1182,T16,Cheshire,363806.87,354205.9,T10-72,"Nantwich, Cheshire",0.75,80,20,20,400,17.83,50,70,20,0.814993621,Rarely dries,Moderate,Clay,Absent,Absent,Absent,None,Absent,Absent,Some,Important,Important,Some,Some,Moderate,Excellent,229
F203,S14-024318,SJ64NE_7,T18,Cheshire,367393.77,346990.41,T4-18,"Nantwich, Cheshire",0.4,80,25,25,450,7.64,50,80,10,0.625985003,Rarely dries,Poor,Clay,Present,Absent,Absent,None,Minor,Minor,Some,Some,Important,Some,None,Moderate,Average,75
F204,S14-024041,TF28SW_428,T21,Lincoln,520264.54,382817.37,T26-66,"Wragby, Lincolnshire",0.3,33,10,17,100,8.6,0,0,80,0.624191658,Dries annually,Moderate,Clay;Sand/gravel/pebbles,Absent,Absent,Absent,None,Minor,Absent,Important,Important,Important,None,Some,Good,Average,488
F205,S14-024177,TF07NE_129,T29,Lincoln,509369.16,377979.47,T8-29,"Wragby, Lincolnshire",3,80,15,20,300,2.23,50,20,20,0.785519505,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Absent,Possible,Some,Important,Important,None,Some,Good,Good,307
F206,S14-024200,SJ64NE_6,T18,Cheshire,367339.29,346792.33,T4-14,"Nantwich, Cheshire",0.4,85,12,30,300,6.69,80,100,10,0.561420522,Sometimes dries,Poor,Clay;Sand/gravel/pebbles,Absent,Absent,Absent,None,Minor,Absent,Some,Some,Important,Some,Some,Moderate,Below Average,74
F207,S14-024176,TF07NE_105,T22,Lincoln,508148.86,375900.78,T8-67,"Wragby, Lincolnshire",2,200,50,50,2500,6.05,30,30,30,0.782066851,Never dries,Good,Clay,Absent,Present,Absent,None,Minor,Minor,Important,Important,Important,None,Some,Good,Good,300
F208,S14-024026,TF07NE_115,T22,Lincoln,506877.5,376084.11,T8-52,"Wragby, Lincolnshire",2,300,60,100,4000,4.46,10,10,10,0.426467933,Never dries,Moderate,Not known,Absent,Absent,Absent,None,Minor,Major,None,None,Important,None,None,Poor,Poor,302
F209,S14-024368,SJ65NW_634,T18,Cheshire,361303.69,359146.3,T5-51,"Nantwich, Cheshire",1.5,60,15,15,1250,8.6,90,70,10,0.712247051,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Absent,None,None,Important,None,None,Poor,Good,130
F21,S14-023721,SJ65NW_848,T20,Cheshire,364346.13,359220.02,T19-87,"Nantwich, Cheshire",1,270,25,118,1000,8.92,70,70,60,0.791194242,Sometimes dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Absent,None,None,Some,Some,Some,Moderate,Good,191
F210,S14-024199,TF17NW_272,T25,Lincoln,512875.43,375018.93,T8-21,"Wragby, Lincolnshire",4,25,5,10,25,8.28,20,40,0,0.537155135,Never dries,Poor,Clay,Present,Present,Present,None,Minor,Absent,Some,Some,Important,None,Some,Moderate,Below Average,391
F211,S14-024046,TF17NW_257,T21,Lincoln,511808.41,377236.35,T8-17,"Wragby, Lincolnshire",2,60,10,20,200,6.69,40,20,30,0.724596847,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Possible,Some,Some,Important,None,Some,Moderate,Good,382
F212,S14-024140,TF17SW_497,T21,Lincoln,511788.82,374971.56,T8-20,"Wragby, Lincolnshire",1,45,8,20,80,19.11,50,90,0,0.514779108,Rarely dries,Poor,Clay,Present,Absent,Present,None,Absent,Absent,None,Some,Some,Some,Some,Poor,Below Average,409
F213,S14-024018,TF28SW_425,T21,Lincoln,520339.01,382870.61,T26-59,"Wragby, Lincolnshire",1,38,8,8,50,4.46,0,10,0,0.650020549,Rarely dries,Moderate,Rock;Clay,Present,Absent,Absent,None,Minor,Absent,Important,Important,Important,None,Some,Good,Average,486
F214,S14-024174,TF17NW_288,T25,Lincoln,510551.91,378640.14,T26-2,"Wragby, Lincolnshire",2,100,25,25,500,8.92,10,10,60,0.804326723,Never dries,Moderate,Sand/gravel/pebbles,Present,Absent,Absent,None,Minor,Absent,Some,None,Some,None,Some,Poor,Excellent,400
F215,S14-024147,TF17NW_259,T25,Lincoln,511270.68,377493.26,T8-95,"Wragby, Lincolnshire",1,135,20,20,480,5.1,10,10,50,0.923714705,Rarely dries,Good,Clay,Absent,Absent,Absent,None,Minor,Absent,Important,Important,Important,None,Some,Good,Excellent,384
F216,S14-024202,SJ64NE_4,T18,Cheshire,367549.84,346852.23,T4-16,"Nantwich, Cheshire",0.2,26,3,10,50,6.69,100,100,0,0.288683928,Dries annually,Bad,Clay;Sand/gravel/pebbles,Present,Present,Present,None,Absent,Absent,Important,Some,Some,Some,Some,Moderate,Poor,72
F217,S14-024040,TF28SW_486,T21,Lincoln,520306.64,382837.61,T26-64,"Wragby, Lincolnshire",0.15,54,9,31,150,5.41,0,0,50,0.588406045,Dries annually,Poor,Clay;Sand/gravel/pebbles,Absent,Absent,Absent,None,Minor,Absent,Important,Important,Important,None,Some,Good,Below Average,497
F218,S14-024154,TF17NW_256,T21,Lincoln,512495.72,377437.85,T8-22,"Wragby, Lincolnshire",0.2,12,4,4,9,7.32,90,80,0,0.397307752,Dries annually,Poor,Clay,Present,Present,Absent,None,Absent,Absent,None,Some,Some,None,Some,Poor,Poor,381
F219,S14-024209,SJ65SW_1133,T20,Cheshire,364589.74,353800.35,T10-112,"Nantwich, Cheshire",1,30,6,10,60,10.83,0,0,80,0.675901056,Never dries,Good,Not known,Absent,Absent,Absent,C.frog ad;Sm/pal juv,Absent,Minor,Some,Some,Some,Some,Important,Moderate,Average,207
F22,S14-023791,SJ65NE_337,T18,Cheshire,365287.96,358532.19,T1-29,"Nantwich, Cheshire",3,60,15,15,225,9.87,0,0,50,0.809750709,Never dries,Moderate,Clay,Absent,Absent,Absent,Smooth ad,Absent,Absent,None,Some,Important,Some,Some,Moderate,Excellent,108
F220,S14-024027,TF07NE_124,T22,Lincoln,506961.23,376157.82,T8-55,"Wragby, Lincolnshire",3,50,60,100,3500,4.46,40,50,10,0.461381075,Never dries,Moderate,Sand/gravel/pebbles,Absent,Absent,Absent,None,Minor,Major,Some,Some,Important,None,None,Moderate,Poor,304
F221,S14-024055,TF17NW_261,T25,Lincoln,511301.4,377515.34,T8-97,"Wragby, Lincolnshire",1,75,10,15,175,9.24,30,30,60,0.838033729,Rarely dries,Good,Clay,Absent,Absent,Absent,None,Minor,Absent,Important,Important,Important,None,Some,Good,Excellent,386
F222,S14-024042,TF17NW_273,T21,Lincoln,511646.55,375213.66,T8-19,"Wragby, Lincolnshire",1,40,5,15,75,9.24,100,90,0,0.515553808,Sometimes dries,Poor,Clay,Absent,Absent,Present,None,Absent,Absent,None,Some,Important,None,Some,Moderate,Below Average,392
F223,S14-024175,TF17NE_97,T29,Lincoln,517335.24,378672.01,T6-112,"Wragby, Lincolnshire",2,300,45,60,2000,5.1,10,10,30,0.723508026,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Minor,Important,Some,Some,Some,Some,Moderate,Good,358
F225,S14-024146,TF28SW_487,T21,Lincoln,520415.69,382846.31,T26-61,"Wragby, Lincolnshire",0.75,45,12,14,100,5.41,0,10,0,0.6693258,Rarely dries,Moderate,Clay;Rock,Present,Present,Absent,None,Minor,Possible,Important,Important,Important,None,Some,Good,Average,498
F226,S14-024021,TF28SW_421,T21,Lincoln,520235.52,382847.93,T26-77,"Wragby, Lincolnshire",0.5,41,10,12,100,3.82,0,0,20,0.672742705,Sometimes dries,Moderate,Clay;Sand/gravel/pebbles,Absent,Absent,Absent,C.frog spawn,Minor,Absent,Important,Important,Important,None,Some,Good,Average,483
F227,S14-024172,TF17NW_260,T21,Lincoln,511284.12,377527.82,T8-96,"Wragby, Lincolnshire",1,60,10,20,150,10.51,10,10,30,0.793926185,Never dries,Good,Clay,Absent,Absent,Absent,None,Minor,Absent,Important,Important,Important,None,Some,Good,Good,385
F228,S14-025251,SJ64NE_14,T16,Cheshire,367390.08,348353.13,T4-66,"Nantwich, Cheshire",0.4,50,10,18,150,9.87,50,70,40,0.666297731,Sometimes dries,Poor,Clay,Absent,Absent,Absent,None,Absent,Absent,Some,Some,Some,Some,Some,Moderate,Average,63
F229,S14-024312,SJ64NW_175,T16,Cheshire,363629.79,349730.23,T4-46,"Nantwich, Cheshire",0.4,155,20,42,800,23.89,0,0,80,0.800715955,Sometimes dries,Poor,Clay,Absent,Absent,Absent,None,Absent,Absent,Some,Some,Some,None,Some,Moderate,Excellent,84
F23,S14-024350,TQ84SE_2593,T9,Kent,589844,140374.71,T30-124,"Ashford, Kent",1.25,90,25,35,700,25.16,100,100,0,0.63032353,Sometimes dries,Poor,Clay,Present,Present,Absent,None,Absent,Absent,None,Some,Important,None,Some,Good,Average,622
F230,S14-024303,SJ65SW_1139,T16,Cheshire,364909.94,354648.11,T10-108,"Nantwich, Cheshire",1,180,30,60,1800,15.92,90,100,10,0.589462785,Never dries,Poor,Not known,Absent,Absent,Absent,None,Minor,Possible,Some,Important,Important,Some,None,Moderate,Below Average,210
F231,S14-024141,TF28SW_419,T21,Lincoln,520507.34,382962,T26-62,"Wragby, Lincolnshire",0.6,40,13,11,100,3.82,0,0,20,0.646333219,Sometimes dries,Moderate,Clay,Present,Present,Absent,None,Minor,Possible,Important,Important,Important,None,None,Good,Average,481
F232,S14-024179,SJ65SW_1220,T20,Cheshire,360665.34,353841.21,T10-56,"Nantwich, Cheshire",2,240,40,80,3200,0.64,50,40,0,0.227263088,Never dries,Poor,Clay,Present,Present,Absent,None,Major,Major,Some,Some,Some,Some,Some,Poor,Poor,233
F233,S14-024302,SJ65SW_1343,T20,Cheshire,364706.26,354059.12,T10-110,"Nantwich, Cheshire",2,320,40,120,2400,12.42,10,50,20,0.699697834,Never dries,Moderate,Clay,Present,Present,Absent,None,Minor,Minor,Some,None,Some,Some,Some,Moderate,Average,265
F234,S14-023820,TQ84SE_2246,T9,Kent,588642.34,142334.83,T29-71,"Ashford, Kent",1,104,15,37,400,15.29,10,20,10,0.779814755,Never dries,Good,Clay,Present,Absent,Absent,None,Absent,Absent,Some,Some,Important,Some,None,Poor,Good,608
F235,S14-024197,TF28SW_422,T21,Lincoln,520385.99,382855.49,T26-60,"Wragby, Lincolnshire",0.3,34,11,15,50,3.82,0,10,10,0.630292342,Rarely dries,Moderate,Rock;Clay,Present,Present,Absent,None,Minor,Possible,Important,Important,Important,None,Some,Good,Average,484
F236,S14-024020,TF17NW_274,T25,Lincoln,511927.39,375353.42,T8-18,"Wragby, Lincolnshire",1,30,10,10,50,8.6,10,10,30,0.670719217,Sometimes dries,Moderate,Clay,Absent,Absent,Absent,None,Absent,Absent,Important,Some,Important,None,Some,Good,Average,393
F237,S14-024357,SJ65SE_917,T20,Cheshire,366275.34,350075.23,T1-8,"Nantwich, Cheshire",1.2,80,20,20,400,13.06,60,100,10,0.601415584,Sometimes dries,Poor,Clay,Absent,Absent,Absent,None,Absent,Absent,Some,Some,Important,None,Some,Moderate,Average,201
F238,S14-024017,TF28SW_420,T21,Lincoln,520283.6,382851.69,T26-65,"Wragby, Lincolnshire",0.3,40,8,19,100,3.82,0,0,50,0.380309235,Dries annually,Moderate,Sand/gravel/pebbles;Clay,Absent,Absent,Absent,None,Minor,Major,Important,Important,Important,None,Some,Good,Poor,482
F239,S14-024353,TQ93NE_213,T9,Kent,597100.65,138696.37,T3-66,"Ashford, Kent",1,60,13,22,300,12.74,10,30,0,0.485474544,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Absent,Major,None,None,Important,None,Some,Moderate,Poor,647
F24,S14-024645,SJ64NW_225,T18,Cheshire,363504.83,349831.37,T4-50,"Nantwich, Cheshire",0.3,150,27,51,1000,3.18,80,90,10,0.670354808,Rarely dries,Poor,Clay,Absent,Absent,Absent,None,Minor,Absent,Some,Some,Important,Some,Some,Moderate,Average,93
F240,S14-023826,TQ83NE_418,T9,Kent,588949.75,139972.86,T29-81,"Ashford, Kent",2,80,15,25,450,12.1,50,100,0,0.59923235,Sometimes dries,Moderate,Clay,Absent,Absent,Absent,None,Absent,Absent,Some,None,Important,None,None,Poor,Below Average,512
F241,S14-024373,SJ66SW_1073,T18,Cheshire,360035.15,360281.52,T5-89,"Nantwich, Cheshire",1.5,132,20,46,920,13.06,10,10,60,0.746282977,Never dries,Poor,Clay,Absent,Absent,Absent,None,Minor,Absent,None,None,Important,None,Some,Poor,Good,292
F242,S14-023827,TQ93NE_176,T9,Kent,597321.53,136631.84,T29-17,"Ashford, Kent",1.5,50,15,14,200,27.39,0,0,10,0.473425902,Never dries,Good,Clay,Present,Present,Absent,None,Minor,Major,Some,Some,Important,Some,Some,Moderate,Poor,636
F243,S14-024878,SJ55NE_465,T18,Cheshire,358877.56,357525.5,T1-109,"Nantwich, Cheshire",1,150,25,56,1500,5.73,10,0,20,0.798027373,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Absent,Some,None,Important,None,Some,Moderate,Good,8
F244,S14-024136,TF17NE_92,T25,Lincoln,515723.85,376273.32,T6-38,"Wragby, Lincolnshire",1,88,17,25,350,2.23,20,20,80,0.805974145,Rarely dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Possible,None,Important,Some,Some,None,Moderate,Excellent,355
F245,S14-024029,TF17NW_240,T22,Lincoln,514888.16,376747.22,T8-86,"Wragby, Lincolnshire",1,50,5,20,100,6.05,0,0,80,0.77757486,Never dries,Good,Lined,Present,Absent,Absent,None,Absent,Possible,Some,Some,Some,None,Some,Moderate,Good,373
F246,S14-024758,SJ65SW_1169,T18,Cheshire,362696.26,352312.06,T10-29,"Nantwich, Cheshire",1,90,20,25,500,9.24,90,100,0,0.624503054,Sometimes dries,Moderate,Not known,Absent,Absent,Absent,None,Absent,Possible,Some,Important,Important,Some,Some,Moderate,Average,224
F247,S14-025274,SJ55NE_589,T20,Cheshire,359220.04,355238.82,T19-53,"Nantwich, Cheshire",1,90,20,32,500,8.28,30,20,0,0.60557927,Dries annually,Poor,Clay,Absent,Absent,Absent,None,Absent,Absent,None,None,Some,None,None,Moderate,Average,41
F248,S14-024198,SJ65SW_1214,T20,Cheshire,361561.83,353623.36,T1-81,"Nantwich, Cheshire",1.6,80,19,24,350,4.14,10,10,90,0.780593014,Never dries,Good,Clay,Present,Absent,Absent,None,Minor,Minor,None,Important,Important,None,Some,Moderate,Good,232
F249,S14-024684,TQ83NE_654,T9,Kent,588358.71,137634.06,T30-151,"Ashford, Kent",1,60,14,22,250,31.53,100,100,10,0.488501249,Dries annually,Poor,Clay,Absent,Absent,Absent,None,Minor,Absent,None,Some,Important,Important,None,Good,Poor,548
F25,S14-023752,TF17NE_61,T21,Lincoln,516745.71,378071.02,T6-70,"Wragby, Lincolnshire",1,78,17,20,350,5.73,0,0,80,0.846752516,Never dries,Good,Clay,Absent,Absent,Absent,None,Minor,Possible,None,Important,Some,Some,None,Moderate,Excellent,339
F250,S14-025268,TQ83NE_845,T14,Kent,588928.45,135129.28,T16-11,"Ashford, Kent",1.5,90,25,30,300,22.61,30,50,0,0.688680611,Never dries,Poor,Not known,Present,Absent,Absent,Palmate ad,Minor,Absent,None,None,Some,None,Some,Moderate,Average,565
F251,S14-024791,SJ65SW_1240,T18,Cheshire,360918.01,354788,T7-12,"Nantwich, Cheshire",1,100,25,25,625,13.06,70,30,10,0.736033209,Never dries,Poor,Clay,Absent,Absent,Absent,None,Minor,Absent,Important,Some,Important,Some,Important,Moderate,Good,247
F252,S14-024757,SJ65SW_1277,T18,Cheshire,362742.7,351390.43,T19-19,"Nantwich, Cheshire",0.75,140,40,34,1050,13.06,0,0,60,0.867115838,Rarely dries,Moderate,Clay,Absent,Absent,Absent,Sm/pal larva,Minor,Absent,Some,None,Some,None,None,Moderate,Excellent,258
F253,S14-024178,SJ55SE_991,T20,Cheshire,358595.96,354868.03,T10-129,"Nantwich, Cheshire",0.5,80,15,25,350,16.24,40,50,20,0.707139163,Rarely dries,Poor,Not known,Absent,Absent,Absent,None,Minor,Possible,Important,Some,Important,Some,Some,Moderate,Good,59
F254,S14-024307,SJ64NW_252,T18,Cheshire,362537.2,345829.16,T5-88,"Nantwich, Cheshire",3,208,18,86,1548,1.27,0,0,0,0.321990295,Never dries,Good,Clay,Absent,Present,Absent,None,Major,Major,Important,None,Important,None,None,Moderate,Poor,98
F255,S14-024380,SJ64NW_253,T18,Cheshire,362552.84,346058.69,T5-87,"Nantwich, Cheshire",2,105,25,28,500,3.82,30,20,10,0.70277722,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Possible,Important,None,Important,None,None,Poor,Good,99
F256,S14-025262,TQ83NW_1961,T14,Kent,583567.37,138625.74,T13-136,"Ashford, Kent",1,70,15,21,300,9.24,10,10,90,0.563989615,Never dries,Good,Clay,Absent,Absent,Absent,None,Absent,Major,Some,Some,Important,None,Some,Moderate,Below Average,577
F257,S14-024680,TQ93NE_276,T9,Kent,596360.47,137222,T3-82,"Ashford, Kent",0.5,60,10,20,200,34.39,100,100,0,0.55255689,Sometimes dries,Poor,Clay,Absent,Absent,Absent,None,Absent,Absent,Important,None,Some,None,None,Moderate,Below Average,651
F258,S14-024685,TQ93NE_3363,T9,Kent,595542.75,139997.61,T30-140,"Ashford, Kent",1.5,88,31,35,700,17.52,100,100,0,0.63032353,Sometimes dries,Poor,Clay,Absent,Absent,Absent,None,Absent,Absent,Important,Some,Some,None,None,Good,Average,652
F259,S14-024156,TF17SW_505,T21,Lincoln,511081.67,373299.05,T8-60,"Wragby, Lincolnshire",1,210,7,100,500,13.69,20,10,70,0.891819248,Sometimes dries,Good,Clay,Absent,Absent,Absent,None,Minor,Absent,Some,Important,Important,None,Some,Good,Excellent,413
F26,S14-023837,TQ83NE_565,T14,Kent,586035.13,138236.63,T25-160,"Ashford, Kent",1.5,85,20,28,500,16.56,60,70,20,0.792276806,Never dries,Moderate,Clay,Present,Absent,Absent,C.frog spawn,Minor,Absent,Some,Important,Important,None,None,Moderate,Good,543
F260,S14-024030,TF07NE_109,T21,Lincoln,507586.21,376416.51,T8-57,"Wragby, Lincolnshire",4,160,30,50,1500,5.1,0,0,10,0.531971518,Never dries,Bad,Concrete,Present,Absent,Present,None,Absent,Absent,Some,Some,Important,None,Some,Moderate,Below Average,301
F261,S14-024031,TF27NW_196,T21,Lincoln,524915.27,379486.69,T26-79,"Wragby, Lincolnshire",1,70,9,28,200,8.6,100,70,50,0.768853446,Rarely dries,Moderate,Clay,Present,Absent,Absent,None,Minor,Absent,Some,Important,Important,None,Some,Moderate,Good,467
F262,S14-024876,TF17NE_542,T22,Lincoln,515073.74,376874.62,T6-15,"Wragby, Lincolnshire",0.5,20,2,9,50,25.48,20,10,60,0.713807496,Never dries,Good,Lined,Present,Present,Absent,None,Absent,Possible,None,None,Some,Some,Some,Moderate,Good,332
F263,S14-024033,TF27NE_4,T21,Lincoln,525382.42,379262.1,T26-70,"Wragby, Lincolnshire",5,150,35,35,1000,17.52,100,70,0,0.704408382,Never dries,Poor,Clay,Present,Present,Absent,None,Minor,Absent,None,Some,Important,None,Some,Moderate,Good,454
F264,S14-024037,TF27NE_2,T21,Lincoln,525432.14,379313.36,T26-71,"Wragby, Lincolnshire",3,110,35,36,1100,11.46,70,60,10,0.479367639,Never dries,Poor,Clay,Present,Present,Absent,None,Major,Absent,None,Some,Important,None,Some,Moderate,Poor,453
F265,S14-024138,TF17NW_297,T21,Lincoln,514848.55,376932.82,T8-78,"Wragby, Lincolnshire",2,270,10,80,1000,17.2,30,30,20,0.838056402,Never dries,Good,Clay,Present,Absent,Absent,None,Minor,Possible,Some,Important,Important,None,Some,Good,Excellent,404
F266,S14-024683,TQ93NE_228,T9,Kent,595551.71,139832.05,T3-20,"Ashford, Kent",0.5,55,18,18,400,14.65,80,100,0,0.616414035,Sometimes dries,Poor,Clay,Absent,Absent,Absent,None,Absent,Absent,Important,Some,Some,None,None,Good,Average,649
F267,S14-024035,TF17NW_296,T21,Lincoln,514865.83,376854.1,T8-77,"Wragby, Lincolnshire",2,93,12,30,266,16.56,0,20,20,0.818936038,Never dries,Good,Clay,Absent,Absent,Absent,None,Minor,Absent,Some,Important,Important,None,Some,Good,Excellent,403
F268,S14-024036,TF17NE_11,T21,Lincoln,517551.48,379011.9,T6-114,"Wragby, Lincolnshire",2,90,40,20,500,5.73,10,10,20,0.843257986,Never dries,Good,Clay,Present,Present,Absent,None,Minor,Possible,None,Important,Important,Important,Some,Good,Excellent,316
F269,S14-024767,TQ83NW_1739,T14,Kent,583331.84,139622.55,T13-154,"Ashford, Kent",2,90,26,26,676,38.54,20,40,10,0.790048033,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Absent,Some,None,Important,None,Some,Moderate,Good,571
F27,S14-023813,TQ84NE_24,T9,Kent,588319.66,145509.05,T29-36,"Ashford, Kent",2,70,15,20,300,0.64,10,10,0,0.683400796,Sometimes dries,Moderate,Clay,Present,Present,Absent,None,Minor,Absent,None,Some,Important,Some,Important,Good,Average,586
F270,S14-024012,TF17NE_57,T21,Lincoln,517687.23,377536.44,T6-100,"Wragby, Lincolnshire",1,80,20,25,300,6.05,0,0,80,0.912898735,Rarely dries,Good,Clay,Absent,Absent,Absent,None,Absent,Absent,None,Some,None,Some,Important,Moderate,Excellent,335
F271,S14-024740,TQ94SW_2951,T14,Kent,591832.95,141415.96,T30-89,"Ashford, Kent",6,120,16,49,600,8.28,0,0,30,0.895504969,Never dries,Good,Clay,Absent,Absent,Absent,None,Absent,Absent,None,Some,Some,None,None,Moderate,Excellent,683
F272,S14-024766,TQ83NW_1907,T14,Kent,584123.45,138338.97,T13-124,"Ashford, Kent",1,35,10,10,100,44.59,50,50,10,0.736405942,Rarely dries,Moderate,Clay,Absent,Present,Absent,None,Absent,Absent,Some,None,None,Some,None,Good,Good,575
F273,S14-025282,SJ65SW_1275,T16,Cheshire,363923.66,352099.01,T19-18,"Nantwich, Cheshire",1.5,55,14,16,200,2.55,20,10,30,0.739384505,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Absent,Important,Some,Important,None,Some,Moderate,Good,257
